r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps
8.0,57500.0,5.75,0.71875,0.71875,0.05093248188495636,0.3688778579235077,-0.0032735972199589014,2.824920654296875,3.84049845084661,1.685377836227417,0.0001,80000.0
8.0,60000.0,6.0,0.75,0.75,0.05386103689670563,0.2971763014793396,-0.0012204134836792946,3.097825050354004,4.197871208897652,1.7882592678070068,0.0001,80000.0
8.0,62500.0,6.25,0.78125,0.78125,0.055372726172208786,0.23421043157577515,0.0011812353041023016,3.3836700916290283,4.55166699912219,1.8845866918563843,0.0001,80000.0
8.0,65000.0,6.5,0.8125,0.8125,0.05460777133703232,0.17833057045936584,-0.001324338954873383,3.6856164932250977,4.891421123558544,1.9726685285568237,0.0001,80000.0
8.0,67500.0,6.75,0.84375,0.84375,0.05157315731048584,0.1314249038696289,-0.0007892211433500051,3.9848263263702393,5.2061917159686,2.0509002208709717,0.0001,80000.0
8.0,70000.0,7.0,0.875,0.875,0.04715218394994736,0.09402555227279663,-0.0023626862093806267,4.286403656005859,5.485126311267095,2.117811679840088,0.0001,80000.0
8.0,72500.0,7.25,0.90625,0.90625,0.04240959882736206,0.06671212613582611,-0.0061520980671048164,4.5572919845581055,5.718077738915838,2.1721136569976807,0.0001,80000.0
8.0,75000.0,7.5,0.9375,0.9375,0.034918162971735,0.04471788555383682,-0.005832562688738108,4.828256130218506,5.896212786218314,2.2127387523651123,0.0001,80000.0
8.0,77500.0,7.75,0.96875,0.96875,0.026562919840216637,0.02897026017308235,-0.0037583818193525076,5.076419353485107,6.0125683458100525,2.2388765811920166,0.0001,80000.0
8.0,80000.0,8.0,1.0,1.0,0.01939992420375347,0.01939992420375347,-0.005557551514357328,5.284164905548096,6.0625,2.25,0.0001,80000.0
10.0,0.0,0.0,0.0,0.0,0.0025931857526302338,1.292888879776001,-0.0002576704428065568,0.9992316961288452,1.0043912588251316,0.06626657396554947,0.0001,100000.0
10.0,3125.0,0.3125,0.03125,0.03125,0.0028591882437467575,1.2973082065582275,0.004285023547708988,0.9959375858306885,1.006755308696527,0.08219068497419357,0.0001,100000.0
10.0,6250.0,0.625,0.0625,0.0625,0.0026408389676362276,1.2938587665557861,0.0002040081744780764,0.9992785453796387,1.0102519442757745,0.10125188529491425,0.0001,100000.0
10.0,9375.0,0.9375,0.09375,0.09375,0.0027094222605228424,1.2907345294952393,0.0003223782405257225,1.0020350217819214,1.0153487222751791,0.12388996034860611,0.0001,100000.0
10.0,12500.0,1.25,0.125,0.125,0.0029364426154643297,1.2842369079589844,0.0014377934858202934,1.010224461555481,1.02266953604779,0.1505640596151352,0.0001,100000.0
10.0,15625.0,1.5625,0.15625,0.15625,0.002812124788761139,1.276003122329712,0.0022928682155907154,1.0220171213150024,1.0330307278253505,0.1817435771226883,0.0001,100000.0
10.0,18750.0,1.875,0.1875,0.1875,0.002960829995572567,1.2666826248168945,-0.000770373793784529,1.032128930091858,1.047478640645027,0.21789593994617462,0.0001,100000.0
10.0,21875.0,2.1875,0.21875,0.21875,0.003018358489498496,1.2603119611740112,-0.003542218590155244,1.0386888980865479,1.067326065527741,0.25947266817092896,0.0001,100000.0
10.0,25000.0,2.5,0.25,0.25,0.0031329174526035786,1.2463223934173584,-0.00463657034561038,1.0557913780212402,1.0941831067508057,0.30689266324043274,0.0001,100000.0
10.0,28125.0,2.8125,0.28125,0.28125,0.0033560674637556076,1.2286810874938965,-0.0032111553009599447,1.079000473022461,1.129977317287712,0.36052367091178894,0.0001,100000.0
10.0,31250.0,3.125,0.3125,0.3125,0.003667046781629324,1.2047547101974487,-0.0041312347166240215,1.1088604927062988,1.1769566818735067,0.42066219449043274,0.0001,100000.0
10.0,34375.0,3.4375,0.34375,0.34375,0.004361036233603954,1.1723337173461914,-0.0022831535898149014,1.1496703624725342,1.2376681752508745,0.4875122308731079,0.0001,100000.0
