r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps
20.0,0.0,0.0,0.0,0.0,0.08958488702774048,0.8982871770858765,-8.56628394103609e-05,-0.002894688630476594,0.9977625608444214,0.992104709148407,1.835579752922058,0.0001,200000.0
20.0,8333.0,0.8333,0.041665,0.041665,0.05209449678659439,1.010136365890503,-0.0035880175419151783,0.036437034606933594,0.8267341256141663,0.798233151435852,1.7837215662002563,0.0001,200000.0
20.0,16667.0,1.6667,0.083335,0.083335,0.0503087118268013,1.0254298448562622,-0.008115175180137157,0.05274588614702225,0.8074788451194763,0.7703429460525513,1.7764538526535034,0.0001,200000.0
20.0,25000.0,2.5,0.125,0.125,0.050188422203063965,1.0222585201263428,-0.004836514592170715,0.05923356115818024,0.8100330233573914,0.7711911797523499,1.7763432264328003,0.0001,200000.0
20.0,33333.0,3.3333000000000004,0.166665,0.166665,0.049988195300102234,1.0157759189605713,-0.006219398695975542,0.05647106468677521,0.8176538944244385,0.7718112468719482,1.7775245904922485,0.0001,200000.0
20.0,41667.0,4.1667000000000005,0.20833500000000002,0.20833500000000002,0.05104653537273407,1.0050959587097168,-0.0018423101864755154,0.060307107865810394,0.8323759436607361,0.7806726694107056,1.7802854776382446,0.0001,200000.0
20.0,50000.0,5.0,0.25,0.25,0.051177892833948135,0.9819478988647461,-0.0035048455465584993,0.06088978424668312,0.8575105667114258,0.7733649015426636,1.7823394536972046,0.0001,200000.0
20.0,58333.0,5.8333,0.291665,0.291665,0.05229590833187103,0.965843677520752,-0.010978886857628822,0.06262046843767166,0.8784828186035156,0.7789266109466553,1.7855565547943115,0.0001,200000.0
20.0,66667.0,6.6667000000000005,0.33333500000000005,0.33333500000000005,0.05201005935668945,0.9292492866516113,-0.006654816679656506,0.060172125697135925,0.9174745082855225,0.7779455184936523,1.7903671264648438,0.0001,200000.0
20.0,75000.0,7.5,0.375,0.375,0.05455556511878967,0.891289234161377,-0.0010417767334729433,0.05926672741770744,0.970483124256134,0.7726004719734192,1.7960299253463745,0.0001,200000.0
20.0,83333.0,8.333300000000001,0.41666500000000006,0.41666500000000006,0.05611744150519371,0.8412050008773804,-0.0023377954494208097,0.06002296879887581,1.0402814149856567,0.7775918841362,1.8052438497543335,0.0001,200000.0
20.0,91667.0,9.1667,0.45833500000000005,0.45833500000000005,0.058197133243083954,0.7728192210197449,6.810140621382743e-05,0.061755090951919556,1.139335036277771,0.7707741260528564,1.816214919090271,0.0001,200000.0
20.0,100000.0,10.0,0.5,0.5,0.05890703946352005,0.6925607323646545,0.003754386445507407,0.060452260076999664,1.2632031440734863,0.7735174894332886,1.83170485496521,0.0001,200000.0
20.0,108333.0,10.833300000000001,0.5416650000000001,0.5416650000000001,0.06340835988521576,0.6142247915267944,0.0006377390236593783,0.058188822120428085,1.4108765125274658,0.7800126671791077,1.8503515720367432,0.0001,200000.0
20.0,116667.0,11.6667,0.583335,0.583335,0.06595147401094437,0.5203417539596558,-0.0008968734764494002,0.05687141418457031,1.5999408960342407,0.7769291400909424,1.8728113174438477,0.0001,200000.0
20.0,125000.0,12.5,0.625,0.625,0.06935501098632812,0.43100112676620483,-0.001811077119782567,0.05629739910364151,1.8135906457901,0.776185929775238,1.8983218669891357,0.0001,200000.0
20.0,133333.0,13.333300000000001,0.6666650000000001,0.6666650000000001,0.07022927701473236,0.33925390243530273,0.004536871798336506,0.06417502462863922,2.0745434761047363,0.7704784274101257,1.9276752471923828,0.0001,200000.0
20.0,141667.0,14.1667,0.708335,0.708335,0.07587587088346481,0.2665826082229614,-0.00021758742514066398,0.060984350740909576,2.3546018600463867,0.7813037633895874,1.9620692729949951,0.0001,200000.0
20.0,150000.0,15.0,0.75,0.75,0.07459397614002228,0.19737133383750916,-0.0013043996877968311,0.05809979885816574,2.660504102706909,0.7800127863883972,1.9980099201202393,0.0001,200000.0
20.0,158333.0,15.833300000000001,0.7916650000000001,0.7916650000000001,0.07686653733253479,0.14963777363300323,-0.007533767726272345,0.05937022343277931,2.9718494415283203,0.7808275818824768,2.033906936645508,0.0001,200000.0
20.0,166667.0,16.666700000000002,0.8333350000000002,0.8333350000000002,0.07725286483764648,0.11563479155302048,-0.007953792810440063,0.05818232148885727,3.2630791664123535,0.7828062772750854,2.0678272247314453,0.0001,200000.0
20.0,175000.0,17.5,0.875,0.875,0.07974135875701904,0.09653635323047638,-0.013981546275317669,0.05875781178474426,3.5467875003814697,0.7856419682502747,2.10048770904541,0.0001,200000.0
20.0,183333.0,18.3333,0.9166650000000001,0.9166650000000001,0.07902444154024124,0.08436764776706696,-0.014199684374034405,0.05806379392743111,3.7893271446228027,0.7852885127067566,2.1279561519622803,0.0001,200000.0
20.0,191667.0,19.166700000000002,0.9583350000000002,0.9583350000000002,0.07883107662200928,0.07969725131988525,-0.012274941429495811,0.053870413452386856,3.9970459938049316,0.7881061434745789,2.151683807373047,0.0001,200000.0
20.0,200000.0,20.0,1.0,1.0,0.07807648926973343,0.07807648926973343,-0.011937065050005913,0.055283769965171814,4.143747329711914,0.7907254695892334,2.1682019233703613,0.0001,200000.0
60.0,0.0,0.0,0.0,0.0,0.08958488702774048,0.8982871770858765,-8.56628394103609e-05,-0.002894688630476594,0.9977625608444214,0.992104709148407,1.835579752922058,0.0001,600000.0
60.0,25000.0,2.5,0.041666666666666664,0.041666666666666664,0.05127567797899246,1.0229246616363525,0.0018267376581206918,0.056831277906894684,0.8117853999137878,0.7806176543235779,1.7781171798706055,0.0001,600000.0
60.0,50000.0,5.0,0.08333333333333333,0.08333333333333333,0.05078716576099396,1.0282882452011108,0.0009174897568300366,0.06262270361185074,0.8062437772750854,0.7658113241195679,1.7749239206314087,0.0001,600000.0
60.0,75000.0,7.5,0.125,0.125,0.050493426620960236,1.0143687725067139,0.001085101393982768,0.05959460884332657,0.8188528418540955,0.77480548620224,1.7778836488723755,0.0001,600000.0
60.0,100000.0,10.0,0.16666666666666666,0.16666666666666666,0.05118875205516815,1.0072182416915894,0.003782888175919652,0.062058743089437485,0.8299440741539001,0.7772325277328491,1.7795249223709106,0.0001,600000.0
60.0,125000.0,12.5,0.20833333333333334,0.20833333333333334,0.05086034908890724,0.9991559982299805,-0.0030852947384119034,0.060529377311468124,0.838081955909729,0.783855140209198,1.7814381122589111,0.0001,600000.0
60.0,150000.0,15.0,0.25,0.25,0.05241737514734268,0.9827542901039124,-0.000789546174928546,0.06045481935143471,0.8586486577987671,0.7773383855819702,1.7830480337142944,0.0001,600000.0
