r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps,wall_clock_sec,lambda_guidance
12,120000.0,12.0,1.0,1.0,0.054630935192108154,0.054630935192108154,-0.0301845483481884,0.12143883854150772,2.1890006065368652,0.5309121608734131,5.939916133880615,0.0001,120000,50.893742362968624,0.4
14,140000.0,14.0,1.0,1.0,0.05562272667884827,0.05562272667884827,-0.02743258699774742,0.12275833636522293,2.20521879196167,0.5346812605857849,5.946609020233154,0.0001,140000,59.39824037300423,0.4
16,160000.0,16.0,1.0,1.0,0.05462963506579399,0.05462963506579399,-0.027029335498809814,0.12593409419059753,2.20662522315979,0.533775806427002,5.946474075317383,0.0001,160000,67.77270234702155,0.4
18,180000.0,18.0,1.0,1.0,0.05619236081838608,0.05619236081838608,-0.02311818301677704,0.12259992957115173,2.2165656089782715,0.529020369052887,5.948712348937988,0.0001,180000,76.24996514525265,0.4
20,200000.0,20.0,1.0,1.0,0.055082984268665314,0.055082984268665314,-0.02648061513900757,0.12812110781669617,2.223855972290039,0.5293648838996887,5.950685977935791,0.0001,200000,84.7081269188784,0.4
60,600000.0,60.0,1.0,1.0,0.05379753187298775,0.05379753187298775,-0.025485048070549965,0.12559346854686737,2.2455060482025146,0.5294011235237122,5.958995342254639,0.0001,600000,252.2676709559746,0.4
80,800000.0,80.0,1.0,1.0,0.05413271114230156,0.05413271114230156,-0.03667730465531349,0.1263946294784546,2.2432191371917725,0.5294097065925598,5.958340644836426,0.0001,800000,339.66967072431,0.4
100,1000000.0,100.0,1.0,1.0,0.05532476305961609,0.05532476305961609,-0.03480888158082962,0.12130267173051834,2.2423436641693115,0.5260480046272278,5.956982135772705,0.0001,1000000,425.8786341352388,0.4
1,10000.0,1.0,1.0,1.0,0.31397682428359985,0.31397682428359985,0.002800810383632779,0.058182839304208755,1.6769893169403076,0.7077089548110962,2.9213502407073975,0.0001,10000,4.297187373973429,0.8
2,20000.0,2.0,1.0,1.0,0.17437627911567688,0.17437627911567688,0.00498807430267334,0.08050447702407837,2.2060844898223877,0.6918251514434814,3.013695001602173,0.0001,20000,8.569027183111757,0.8
4,40000.0,4.0,1.0,1.0,0.09408710896968842,0.09408710896968842,0.005895550362765789,0.0845431238412857,2.810436487197876,0.6958433389663696,3.125194549560547,0.0001,40000,17.08637496083975,0.8
6,60000.0,6.0,1.0,1.0,0.07768774032592773,0.07768774032592773,0.00042462447891011834,0.08285686373710632,3.0725724697113037,0.6942031979560852,3.171987533569336,0.0001,60000,25.626686652656645,0.8
8,80000.0,8.0,1.0,1.0,0.07224230468273163,0.07224230468273163,0.0015493178507313132,0.08507013320922852,3.2178971767425537,0.6955983638763428,3.1979877948760986,0.0001,80000,34.121425887104124,0.8
10,100000.0,10.0,1.0,1.0,0.07317642867565155,0.07317642867565155,-0.0026653134264051914,0.0850786566734314,3.3148586750030518,0.6969070434570312,3.2152602672576904,0.0001,100000,42.44808899797499,0.8
12,120000.0,12.0,1.0,1.0,0.07234063744544983,0.07234063744544983,0.002546033589169383,0.08418036252260208,3.3426458835601807,0.7047132253646851,3.2225425243377686,0.0001,120000,50.78168360795826,0.8
14,140000.0,14.0,1.0,1.0,0.07241718471050262,0.07241718471050262,0.005932171363383532,0.08246463537216187,3.3822083473205566,0.6947452425956726,3.2271664142608643,0.0001,140000,58.76332736480981,0.8
16,160000.0,16.0,1.0,1.0,0.07080556452274323,0.07080556452274323,0.00811963714659214,0.08355337381362915,3.4188923835754395,0.7014222145080566,3.2352898120880127,0.0001,160000,67.23717324621975,0.8
18,180000.0,18.0,1.0,1.0,0.07152588665485382,0.07152588665485382,-0.0016333129024133086,0.0878867357969284,3.427854061126709,0.6970657706260681,3.2355587482452393,0.0001,180000,75.8270697738044,0.8
20,200000.0,20.0,1.0,1.0,0.07108151167631149,0.07108151167631149,0.011517294682562351,0.08702107518911362,3.428462266921997,0.7011460065841675,3.236588954925537,0.0001,200000,84.95888810697943,0.8
60,600000.0,60.0,1.0,1.0,0.07204216718673706,0.07204216718673706,-0.006973176263272762,0.08469258248806,3.4804999828338623,0.7043581008911133,3.2469677925109863,0.0001,600000,254.560092613101,0.8
80,800000.0,80.0,1.0,1.0,0.07010158896446228,0.07010158896446228,-0.007504690438508987,0.08764227479696274,3.5069026947021484,0.6983178853988647,3.250243663787842,0.0001,800000,339.31806423468515,0.8
100,1000000.0,100.0,1.0,1.0,0.07144923508167267,0.07144923508167267,-0.002664304804056883,0.07960747182369232,3.489603042602539,0.7028812766075134,3.2480623722076416,0.0001,1000000,426.41369151789695,0.8
1,10000.0,1.0,1.0,1.0,0.35444432497024536,0.35444432497024536,-0.007316247560083866,0.05381854251027107,1.7728686332702637,0.7549248337745667,2.3575751781463623,0.0001,10000,4.3194207632914186,1.0
2,20000.0,2.0,1.0,1.0,0.19602611660957336,0.19602611660957336,-0.008566942997276783,0.06839630007743835,2.379903554916382,0.7395486831665039,2.443854570388794,0.0001,20000,8.568151926156133,1.0
4,40000.0,4.0,1.0,1.0,0.1047767847776413,0.1047767847776413,-0.012843454256653786,0.06854923814535141,3.047592878341675,0.7371417284011841,2.540361166000366,0.0001,40000,17.15520014660433,1.0
6,60000.0,6.0,1.0,1.0,0.08601347357034683,0.08601347357034683,-0.016117040067911148,0.07434690743684769,3.360097885131836,0.7458236813545227,2.5862064361572266,0.0001,60000,25.79142025206238,1.0
8,80000.0,8.0,1.0,1.0,0.07927092909812927,0.07927092909812927,-0.017465664073824883,0.07133186608552933,3.527411937713623,0.7452239990234375,2.61021089553833,0.0001,80000,34.32001484883949,1.0
10,100000.0,10.0,1.0,1.0,0.07726037502288818,0.07726037502288818,-0.022259848192334175,0.07035965472459793,3.608490228652954,0.7425153255462646,2.621689558029175,0.0001,100000,42.952018620911986,1.0
12,120000.0,12.0,1.0,1.0,0.07514791190624237,0.07514791190624237,-0.03231068700551987,0.07136060297489166,3.6803834438323975,0.7505887746810913,2.6326680183410645,0.0001,120000,51.51152786333114,1.0
